condition,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3
time,3,7,10,13,15,17,19,21,23,26,3,7,10,13,15,17,19,21,23,26,3,7,10,13,15,17,19,21,23,26
TRIAE_CS42_1AL_TGACV1_000115_AA0003870,7.236267346,8.119145506,7.044652252,7.799519684,6.716678305,6.84908431,7.520597634,7.464062743,7.481972516,6.763419442,7.37133834,8.145816418,5.896967037,7.288456272,6.11328387,8.401905789,7.292432475,7.278718655,7.276957429,6.693079524,7.696889683,7.273869532,6.298859169,7.568921476,6.61061125,7.527837021,7.311385371,6.849029166,7.646520933,7.209340257
TRIAE_CS42_1AL_TGACV1_000129_AA0004160,7.858172524,8.378533777,7.374597667,7.854058753,7.294581083,7.141712155,7.856123565,7.70824628,7.960470215,7.698841,7.850555508,8.790663664,6.507762669,7.631252211,6.417300748,8.68835774,8.14835061,7.521453326,7.846879335,7.849865793,8.287646685,7.853744609,7.230070635,7.875024803,7.094890233,8.001914852,7.386654791,7.444935022,7.87823112,8.126643624
TRIAE_CS42_1AL_TGACV1_001166_AA0026380,6.183648291,6.886734891,5.613399456,6.611191615,5.964601957,5.541773219,6.508374573,6.122353765,6.189102581,6.040560379,6.594175949,7.32008815,4.869329991,6.089330096,5.04958674,7.144459034,6.266957635,5.84683465,6.226462951,6.200959377,6.936935272,6.065611896,6.043340232,6.180776696,5.745747879,6.419445331,6.002439106,5.786882044,6.078534964,6.543475232
TRIAE_CS42_1AL_TGACV1_001818_AA0035580,6.134583891,6.41833394,4.918527315,5.805451184,4.527551289,5.142277403,5.736985115,5.843987797,5.980656348,4.761498493,5.625294669,6.265776385,4.422971822,5.897505454,4.625080651,6.879708623,5.853219204,5.669066799,5.996541637,5.218424231,6.016547327,4.845532637,4.914102367,6.150977965,5.512751097,6.145753075,6.053838227,4.714141176,6.11916491,5.553091359
TRIAE_CS42_1AS_TGACV1_019570_AA0068550,6.938682077,7.925677117,6.395490286,6.56267301,5.629094847,5.902037528,6.529043585,5.707462362,7.940652497,7.271882357,6.18246913,8.050596743,5.490976968,7.008233898,4.788749285,7.616545172,7.873908476,6.548995306,7.547604209,7.672711362,7.53096743,6.486892229,5.468768751,7.361251406,5.11938805,7.256459541,5.594681639,6.607301326,6.174331997,7.45951866
TRIAE_CS42_1BL_TGACV1_031394_AA0113140,6.105420268,6.971184341,5.764143532,6.644574451,6.078673821,5.627987234,6.545184417,6.157264962,6.239764408,6.204866806,6.5161842,7.316979978,5.10893494,6.196128192,5.132207881,7.184318263,6.287940341,5.815171781,6.316989581,6.38701904,6.89508029,6.073926173,6.087431329,6.4420958,5.619973238,6.429404912,5.995810092,5.805649897,6.277249697,6.614199993
TRIAE_CS42_1BL_TGACV1_031472_AA0114750,5.786725587,5.630293798,3.812372821,4.663014476,3.340353361,3.901018679,4.668970935,2.841257375,3.716008122,2.208274414,5.195536853,5.362174406,3.192227902,4.8406928,3.763522997,5.659220858,4.114519669,3.342271524,4.00050996,2.895911938,5.749819646,3.805105723,4.241802898,4.625952725,4.03456271,4.883559212,4.345103281,3.18221184,3.299533728,2.955097761
TRIAE_CS42_1BL_TGACV1_031472_AA0114760,5.765068838,6.109754121,4.330195038,4.907124918,4.407938016,4.675404953,5.264253733,5.000005666,4.860587298,3.972176928,5.071498319,6.041936629,3.927037718,5.235212484,4.345103281,6.299280074,5.259893536,4.863572767,4.89858579,4.688490593,5.899516459,4.91927995,4.207664319,5.345372693,4.855508583,5.335988803,5.212301857,3.792987185,5.047410712,4.816386894
TRIAE_CS42_1BL_TGACV1_032010_AA0124150,3.131931355,4.92977225,3.481387771,3.906049198,3.511076672,2.841869886,4.11290786,4.567104805,5.628918832,5.289407794,3.718355729,5.023985778,2.493205453,3.927323356,1.961808807,4.736996376,4.409681927,4.505841443,5.005897421,5.270365323,3.646681513,4.354488415,2.770592982,4.674845491,3.418542744,4.383767618,3.876030994,3.455688724,5.26490018,5.019984784
TRIAE_CS42_1BL_TGACV1_032225_AA0127040,7.356250246,8.090580063,6.77594857,7.368012125,6.624012902,6.664758194,7.21904523,7.401132236,7.307733495,6.493858766,7.343620648,8.072821004,5.772764235,7.077937029,6.055912791,8.193159949,7.054708433,7.155014496,7.136890127,6.589630054,7.615182118,7.203629678,6.191020035,7.559796258,6.505831892,7.363905852,7.057000805,6.755534902,7.431049016,7.277123054
TRIAE_CS42_1BL_TGACV1_032447_AA0129970,6.560327448,6.58396232,4.703494002,5.669549834,3.149079774,4.767620613,5.325007982,4.351396021,4.914895022,3.222867846,5.748972515,5.986514817,4.020497069,5.775169367,4.155656007,6.982120361,4.801254927,4.550860769,4.992226894,3.546938514,6.264249329,4.775478202,4.590741593,5.406624537,4.785306023,5.537849882,5.493908821,3.72096419,5.00060516,3.499533282
TRIAE_CS42_1BL_TGACV1_032935_AA0135600,7.563425749,8.14582558,7.12195484,7.601772631,7.132748399,6.770926226,7.664028937,7.503881407,7.713414338,7.495586498,7.723243536,8.54536931,6.307415148,7.302360431,6.300859737,8.493327989,7.817615519,7.344332933,7.576833308,7.620700724,8.077547796,7.663584023,7.017495032,7.649609858,6.857967903,7.826367275,7.213544793,6.994775648,7.672890647,7.874866912
