"condition","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"time","3","3","3","7","7","7","10","10","10","13","13","13","15","15","15","17","17","17","19","19","19","21","21","21","23","23","23","26","26","26"
"TRIAE_CS42_1AL_TGACv1_000115_AA0003870","7.236267346","7.37133834","7.696889683","8.119145506","8.145816418","7.273869532","7.044652252","5.896967037","6.298859169","7.799519684","7.288456272","7.568921476","6.716678305","6.11328387","6.61061125","6.84908431","8.401905789","7.527837021","7.520597634","7.292432475","7.311385371","7.464062743","7.278718655","6.849029166","7.481972516","7.276957429","7.646520933","6.763419442","6.693079524","7.209340257"
"TRIAE_CS42_1AL_TGACv1_000129_AA0004160","7.858172524","7.850555508","8.287646685","8.378533777","8.790663664","7.853744609","7.374597667","6.507762669","7.230070635","7.854058753","7.631252211","7.875024803","7.294581083","6.417300748","7.094890233","7.141712155","8.68835774","8.001914852","7.856123565","8.14835061","7.386654791","7.70824628","7.521453326","7.444935022","7.960470215","7.846879335","7.87823112","7.698841","7.849865793","8.126643624"
"TRIAE_CS42_1AL_TGACv1_001166_AA0026380","6.183648291","6.594175949","6.936935272","6.886734891","7.32008815","6.065611896","5.613399456","4.869329991","6.043340232","6.611191615","6.089330096","6.180776696","5.964601957","5.04958674","5.745747879","5.541773219","7.144459034","6.419445331","6.508374573","6.266957635","6.002439106","6.122353765","5.84683465","5.786882044","6.189102581","6.226462951","6.078534964","6.040560379","6.200959377","6.543475232"
"TRIAE_CS42_1AL_TGACv1_001818_AA0035580","6.134583891","5.625294669","6.016547327","6.41833394","6.265776385","4.845532637","4.918527315","4.422971822","4.914102367","5.805451184","5.897505454","6.150977965","4.527551289","4.625080651","5.512751097","5.142277403","6.879708623","6.145753075","5.736985115","5.853219204","6.053838227","5.843987797","5.669066799","4.714141176","5.980656348","5.996541637","6.11916491","4.761498493","5.218424231","5.553091359"
"TRIAE_CS42_1AS_TGACv1_019570_AA0068550","6.938682077","6.18246913","7.53096743","7.925677117","8.050596743","6.486892229","6.395490286","5.490976968","5.468768751","6.56267301","7.008233898","7.361251406","5.629094847","4.788749285","5.11938805","5.902037528","7.616545172","7.256459541","6.529043585","7.873908476","5.594681639","5.707462362","6.548995306","6.607301326","7.940652497","7.547604209","6.174331997","7.271882357","7.672711362","7.45951866"
"TRIAE_CS42_1BL_TGACv1_031394_AA0113140","6.105420268","6.5161842","6.89508029","6.971184341","7.316979978","6.073926173","5.764143532","5.10893494","6.087431329","6.644574451","6.196128192","6.4420958","6.078673821","5.132207881","5.619973238","5.627987234","7.184318263","6.429404912","6.545184417","6.287940341","5.995810092","6.157264962","5.815171781","5.805649897","6.239764408","6.316989581","6.277249697","6.204866806","6.38701904","6.614199993"
"TRIAE_CS42_1BL_TGACv1_031472_AA0114750","5.786725587","5.195536853","5.749819646","5.630293798","5.362174406","3.805105723","3.812372821","3.192227902","4.241802898","4.663014476","4.8406928","4.625952725","3.340353361","3.763522997","4.03456271","3.901018679","5.659220858","4.883559212","4.668970935","4.114519669","4.345103281","2.841257375","3.342271524","3.18221184","3.716008122","4.00050996","3.299533728","2.208274414","2.895911938","2.955097761"
"TRIAE_CS42_1BL_TGACv1_031472_AA0114760","5.765068838","5.071498319","5.899516459","6.109754121","6.041936629","4.91927995","4.330195038","3.927037718","4.207664319","4.907124918","5.235212484","5.345372693","4.407938016","4.345103281","4.855508583","4.675404953","6.299280074","5.335988803","5.264253733","5.259893536","5.212301857","5.000005666","4.863572767","3.792987185","4.860587298","4.89858579","5.047410712","3.972176928","4.688490593","4.816386894"
"TRIAE_CS42_1BL_TGACv1_032010_AA0124150","3.131931355","3.718355729","3.646681513","4.92977225","5.023985778","4.354488415","3.481387771","2.493205453","2.770592982","3.906049198","3.927323356","4.674845491","3.511076672","1.961808807","3.418542744","2.841869886","4.736996376","4.383767618","4.11290786","4.409681927","3.876030994","4.567104805","4.505841443","3.455688724","5.628918832","5.005897421","5.26490018","5.289407794","5.270365323","5.019984784"
